Hashing,StatsAccumulator,Hasher,PrimitiveSink,ExecutionSequencer,PairedStatsAccumulator,MessageDigestHashFunction,BigDecimalMath,ForwardingBlockingDeque,ForwardingBlockingQueue,LongAdder,LittleEndianByteArray,Predicates,ExecutionList,SmallCharMatcher,Suppliers,Quantiles,LongAddables,BigIntegerMath,LinearTransformation,Throwables,HashCode,HashingInputStream,Present,LongAddable,StandardSystemProperty,MacHashFunction,DoubleMath,ForwardingCondition,Stats,MathPreconditions,DoubleUtils,Funnels,HashingOutputStream,Strings,FakeTimeLimiter,PairedStats,Preconditions,IntMath,FluentFuture,ElementTypesAreNonnullByDefault,Splitter,Stopwatch,ToDoubleRounder,LongMath,ForwardingExecutorService,Murmur3_32HashFunction,Murmur3_128HashFunction
1.0435054260253111e+20,1.1811679407975372e+20,1.5099310773527898e+20,1.5760905045405594e+20,1.0270712426363201e+20,1.4872240533875602e+20,1.0756207731009282e+20,1.4407367692260462e+20,1.4641649195317572e+20,1.4757395258912686e+20,0.0,1.0435054260251466e+20,9.585209390955004e+19,1.4288786517796951e+20,1.1954856507127738e+20,1.0596847695593457e+20,1.0435054260252998e+20,1.3804279245014288e+20,1.0103697841683179e+20,1.2912720851557895e+20,1.0103697841679414e+20,1.0913240967831278e+20,1.3429432395562369e+20,1.452498080859298e+20,1.8902287831349897e+20,1.4288786517792917e+20,1.209633902366211e+20,1.1220716365741582e+20,1.5975348984866085e+20,9.585209390949655e+19,1.4524980808570007e+20,1.304381782529379e+20,1.0596847695593118e+20,1.4407367692267024e+20,1.1371336747694776e+20,1.475739525892368e+20,1.2780279187931672e+20,1.3926986362591907e+20,1.1068046444205295e+20,1.2096339023664293e+20,1.8538748355378974e+20,1.0596847695590074e+20,1.3926986362591114e+20,1.3555533118850015e+20,9.40603079939941e+19,1.4524980808580768e+20,9.761099463563346e+19,1.166674533740469e+20
1.106804644420903e+20,1.4641649195333201e+20,1.6805783663453068e+20,1.76934953461731e+20,1.2646450587113141e+20,1.6081498650886173e+20,1.3043817825306187e+20,1.649926948487711e+20,1.6291723242083513e+20,1.6291723242080095e+20,1.3804279245037188e+20,0.0,1.0435054260252338e+20,1.5652581390346555e+20,1.4048621740698187e+20,1.2780279187933556e+20,1.2236185739225263e+20,1.5868489263941517e+20,1.166674533741439e+20,1.440736769228056e+20,1.1220716365736795e+20,1.2646450587113318e+20,1.5652581390354792e+20,1.5211574852885017e+20,1.9258966221880518e+20,1.5433653386122232e+20,1.3429432395573636e+20,1.2912720851576706e+20,1.759707231033548e+20,1.2646450587119644e+20,1.6499269484882474e+20,1.4986205729491265e+20,1.2096339023669482e+20,1.6704237213152556e+20,1.3302136324599706e+20,1.5975348984897513e+20,1.3804279245038063e+20,1.509931077353156e+20,1.3555533118868544e+20,1.3680471549101195e+20,1.952219892698949e+20,1.2236185739222696e+20,1.5760905045426435e+20,1.5868489263953494e+20,1.1519987981717301e+20,1.60814986508864e+20,1.264645058711895e+20,1.4169212980353026e+20
1.2374452113688363e+20,1.55435028392128e+20,1.7597072310365454e+20,1.8630298286845864e+20,1.3302136324598771e+20,1.7693495346188596e+20,1.4169212980348966e+20,1.710680670228988e+20,1.690672020858903e+20,1.7106806702300486e+20,1.5433653386143102e+20,1.4048621740706752e+20,0.0,1.6499269484882018e+20,1.543365338613884e+20,1.3429432395582453e+20,1.3804279245046987e+20,1.7402623553867566e+20,1.3302136324607807e+20,1.6395824769316667e+20,1.3173610254183098e+20,1.4288786517821032e+20,1.629172324208394e+20,1.67042372131639e+20,2.0038293164789213e+20,1.7106806702307292e+20,1.4986205729496203e+20,1.4757395258945318e+20,1.8812061598732475e+20,1.4048621740710324e+20,1.7597072310351194e+20,1.6395824769314046e+20,1.330213632459893e+20,1.7402623553861943e+20,1.4288786517816243e+20,1.6805783663450702e+20,1.597534898491392e+20,1.6805783663452707e+20,1.4641649195341529e+20,1.464164919533856e+20,1.952219892698011e+20,1.3680471549108797e+20,1.639582476931058e+20,1.649926948489503e+20,1.2912720851581477e+20,1.6906720208598516e+20,1.392698636261211e+20,1.554350283922175e+20
7.82629069519327e+19,9.585209390940964e+19,1.4169212980337494e+20,1.543365338612712e+20,6.902139622516241e+19,1.209633902365851e+20,9.223372036833201e+19,1.3429432395550651e+20,1.3555533118848744e+20,1.3804279245022383e+20,9.933875699176037e+19,8.453360104313129e+19,7.378697629473819e+19,0.0,1.0103697841672915e+20,8.846747673099256e+19,7.378697629475572e+19,1.304381782529123e+20,6.651068162303298e+19,1.0270712426354085e+20,6.651068162302244e+19,9.223372036836567e+19,1.151998798170239e+20,1.0913240967819108e+20,1.8167935928615066e+20,1.3173610254168952e+20,9.406030799389512e+19,7.826290695188216e+19,1.5323016451517438e+20,7.144393258914836e+19,1.2511190542172158e+20,1.1371336747684626e+20,9.22337203684068e+19,1.3173610254166149e+20,9.2233720368429e+19,1.1811679407972552e+20,1.0103697841678675e+20,1.1666745337395829e+20,7.605787426448207e+19,9.761099463563608e+19,1.769349534608479e+20,7.826290695191767e+19,1.1519987981704839e+20,1.122071636572624e+20,6.118092869613129e+19,1.2511190542179998e+20,9.037022079251692e+19,1.01036978416798e+20
9.223372036835102e+19,1.23744521136714e+20,1.509931077353199e+20,1.6395824769301384e+20,1.0756207731012313e+20,1.4641649195323807e+20,1.2096339023661182e+20,1.4872240533854916e+20,1.5211574852877668e+20,1.4986205729476746e+20,1.2511190542187189e+20,1.0270712426364572e+20,9.585209390951383e+19,1.3926986362582047e+20,0.0,1.1068046444204794e+20,9.933875699178796e+19,1.498620572947723e+20,9.585209390951298e+19,1.2912720851559567e+20,1.0270712426366866e+20,1.0913240967825903e+20,1.355553311884871e+20,1.3555533118847889e+20,1.9081460441943445e+20,1.4524980808575178e+20,1.251119054218705e+20,1.0435054260246816e+20,1.6704237213128675e+20,1.1220716365739698e+20,1.4407367692262416e+20,1.3302136324585272e+20,1.0756207731012888e+20,1.498620572947669e+20,1.1519987981701423e+20,1.4757395258925213e+20,1.3173610254177472e+20,1.3804279245024322e+20,1.0756207731008817e+20,1.2096339023664592e+20,1.8721400533142595e+20,9.585209390949017e+19,1.3804279245023184e+20,1.4048621740692116e+20,8.846747673103968e+19,1.4757395258926452e+20,1.0756207731016806e+20,1.2511190542189157e+20
1.0913240967834114e+20,1.4407367692285952e+20,1.6081498650882523e+20,1.7205977427014854e+20,1.1371336747690964e+20,1.700705770794374e+20,1.2912720851573065e+20,1.618695223094413e+20,1.6499269484888814e+20,1.6704237213154627e+20,1.4169212980351492e+20,1.2646450587112735e+20,1.0103697841684772e+20,1.6081498650875236e+20,1.4407367692287151e+20,0.0,1.3043817825319045e+20,1.6291723242081452e+20,1.2096339023674948e+20,1.4872240533873823e+20,1.1811679407989922e+20,1.2374452113686132e+20,1.5433653386130565e+20,1.4757395258927178e+20,1.978192917666847e+20,1.6081498650877864e+20,1.3804279245035664e+20,1.3173610254183845e+20,1.826134495538426e+20,1.2374452113689195e+20,1.6499269484880072e+20,1.5323016451538895e+20,1.151998798170871e+20,1.618695223095343e+20,1.3173610254178817e+20,1.629172324209057e+20,1.4048621740704897e+20,1.521157485288432e+20,1.355553311886881e+20,1.3804279245043823e+20,1.9434850842642088e+20,1.2374452113688106e+20,1.565258139035676e+20,1.4986205729485275e+20,1.137133674770409e+20,1.5760905045421857e+20,1.237445211368944e+20,1.3680471549100371e+20
1.291272085158216e+20,1.4288786517809671e+20,1.68057836634475e+20,1.7693495346167572e+20,1.3429432395582492e+20,1.680578366345517e+20,1.4872240533886317e+20,1.7304579824083186e+20,1.7402623553869745e+20,1.740262355386701e+20,1.532301645154976e+20,1.3555533118865511e+20,1.1519987981713249e+20,1.649926948488711e+20,1.4641649195329228e+20,1.342943239558245e+20,0.0,1.710680670230536e+20,1.2374452113694027e+20,1.5760905045429354e+20,1.2236185739220163e+20,1.4169212980355485e+20,1.6602069666293504e+20,1.6291723242091047e+20,1.9953204486723106e+20,1.6805783663446245e+20,1.5433653386145713e+20,1.3555533118869481e+20,1.8354278608775394e+20,1.2374452113689636e+20,1.7205977427016804e+20,1.6081498650887995e+20,1.368047154910724e+20,1.7693495346178133e+20,1.416921298035322e+20,1.670423721316036e+20,1.5323016451554764e+20,1.6291723242088576e+20,1.4048621740708743e+20,1.4407367692295212e+20,1.9781929176709693e+20,1.3555533118872044e+20,1.6186952230968073e+20,1.5975348984898073e+20,1.2374452113696173e+20,1.7007057707938064e+20,1.3173610254184846e+20,1.532301645155222e+20
8.453360104315917e+19,1.0756207731007745e+20,1.3429432395569375e+20,1.4757395258920003e+20,8.24963474245477e+19,1.2236185739213722e+20,8.846747673104776e+19,1.278027918790875e+20,1.3043817825294734e+20,1.3043817825291796e+20,9.761099463560007e+19,7.826290695188664e+19,7.378697629475826e+19,1.2236185739198946e+20,1.0435054260236352e+20,8.846747673105069e+19,8.846747673105475e+19,0.0,8.453360104314423e+19,1.043505426023628e+20,8.0407493254498e+19,8.652289912061415e+19,1.2096339023656506e+20,1.2096339023654763e+20,1.8354278608678355e+20,1.2646450587090574e+20,9.585209390947985e+19,9.406030799396312e+19,1.4757395258909871e+20,8.846747673105152e+19,1.278027918790851e+20,1.1519987981698718e+20,9.037022079248443e+19,1.3173610254163073e+20,1.0103697841675395e+20,1.2646450587103535e+20,1.0913240967829483e+20,1.2511190542184032e+20,1.0270712426367436e+20,1.0103697841677686e+20,1.740262355377199e+20,9.223372036841449e+19,1.2912720851566725e+20,1.251119054218519e+20,8.249634742461587e+19,1.195485650712569e+20,8.846747673107952e+19,1.0435054260251181e+20
1.3043817825315894e+20,1.5975348984904322e+20,1.6704237213155407e+20,1.7789395752358232e+20,1.4048621740708197e+20,1.7304579824103673e+20,1.509931077354592e+20,1.7205977427011954e+20,1.7205977427023266e+20,1.7402623553865895e+20,1.5323016451547474e+20,1.452498080860471e+20,1.2912720851581459e+20,1.7106806702306823e+20,1.487224053387621e+20,1.4641649195345157e+20,1.355553311887412e+20,1.730457982409272e+20,0.0,1.5323016451537247e+20,1.3926986362613357e+20,1.532301645155731e+20,1.6906720208603333e+20,1.7106806702317758e+20,1.995320448672081e+20,1.720597742702531e+20,1.5975348984909418e+20,1.2912720851573698e+20,1.8354278608773766e+20,1.4169212980358996e+20,1.710680670229779e+20,1.608149865088797e+20,1.4169212980357528e+20,1.7693495346174807e+20,1.5099310773549783e+20,1.7597072310368027e+20,1.6081498650902662e+20,1.6395824769310917e+20,1.3302136324602025e+20,1.576090504544324e+20,1.9609157927199582e+20,1.3680471549110066e+20,1.6704237213163877e+20,1.597534898489804e+20,1.0913240967838566e+20,1.6906720208598722e+20,1.3926986362611705e+20,1.6081498650899825e+20
9.761099463562845e+19,1.1519987981699704e+20,1.5099310773532862e+20,1.618695223095734e+20,1.0270712426369715e+20,1.3804279245030367e+20,1.1954856507136791e+20,1.4986205729476624e+20,1.5323016451535582e+20,1.5211574852882756e+20,1.3043817825307437e+20,1.2096339023671352e+20,9.223372036843186e+19,1.4169212980334241e+20,1.2511190542188678e+20,1.0913240967831039e+20,9.22337203684409e+19,1.5433653386134166e+20,9.585209390953975e+19,0.0,1.0435054260251602e+20,1.166674533740815e+20,1.3173610254168692e+20,1.392698636259544e+20,1.9258966221900625e+20,1.4288786517797554e+20,1.2912720851575603e+20,1.0435054260252623e+20,1.680578366342935e+20,9.933875699184337e+19,1.5099310773519673e+20,1.3429432395569568e+20,1.1220716365739305e+20,1.4641649195318965e+20,1.181167940799001e+20,1.4641649195328387e+20,1.195485650713908e+20,1.4288786517810156e+20,1.1068046444207687e+20,1.2096339023669279e+20,1.853874835538142e+20,1.0596847695595885e+20,1.330213632458812e+20,1.3043817825300046e+20,9.037022079248784e+19,1.428878651780653e+20,1.1371336747702457e+20,1.2780279187932889e+20
